UID,Session,Experiment,Runs
110,110_KAN_lingviol_07_PL2017,SWNlocIPS168,3
111,111_KAN_lingviol_08_PL2017,SWNlocIPS168,3
112,112_KAN_stories_06_PL2017,SWNloc_morph,2
113,113_KAN_freqamb_02_PL2017,SuperLocSN,2
114,114_KAN_stories_08_PL2017,SWNloc_morph,3
115,115_KAN_action_07_PL2017,SuperLocSN,2
116,116_KAN_langsyntaxshapes_01_PL2017,SWNloc_morph,3
117,117_KAN_langsyntaxshapes_02_PL2017,SWNloc_morph,3
118,118_KAN_syntshapes_03_PL2017,SWNloc_morph,3
119,119_KAN_syntshapes_04_PL2017,SWNloc_morph,3
120,120_KAN_action_08_PL2017,SuperLocSN,2
121,121_KAN_action_09_PL2017,SuperLocSN,2
122,122_KAN_langsyntaxshapes_05_PL2017,SWNloc_morphcont,3
123,123_KAN_adapt_09_PL2017,SuperLocSN,2
124,124_KAN_parametric_08_PL2017,SuperLocSN,2
125,125_KAN_action_12_PL2017,SuperLocSN,2
126,126_KAN_parametric_13_PL2017,SuperLocSN,2
127,127_KAN_prod_03_PL2017,SWNloc_NV,3
128,128_KAN_stories_16_PL2017,SuperLocSN,2
129,129_KAN_adapt_15_PL2017,SuperLocSN,2
130,130_KAN_syntshapes_10_PL2017,SWNloc_morph,3
131,131_KAN_syntshapes_12_PL2017,SuperLocSWN,3
132,132_KAN_langsyntaxshapes_13_PL2017,SWNloc_morph,3
133,133_KAN_adapt_01_PL2017,SuperLocSN,2
134,134_KAN_adapt_02_PL2017,SuperLocSN,2
135,135_KAN_RHnonlit_06_PL2017,langlocSN,2
136,136_KAN_adapt_05_PL2017,SuperLocSN,2
137,137_KAN_adapt_06_PL2017,SuperLocSN,2
138,138_KAN_langsens_02_PL2017,SuperLocSN,2
139,139_KAN_adapt_08_PL2017,SuperLocSN,2
140,140_KAN_prod_01_PL2017,SuperLocSN,2
141,141_KAN_adapt_10_PL2017,SuperLocSN,2
142,142_KAN_parametric_04_PL2017,SuperLocSN,2
143,143_FED_20160222a_3T2_PL2017,langlocSN,2
144,144_KAN_adapt_12_PL2017,SuperLocSN,2
145,145_KAN_stories_09_PL2017,SWNloc_NV,3
146,146_KAN_random_02_PL2017,SuperLocSN,2
147,147_KAN_prod_04_PL2017,SuperLocSN,2
148,148_KAN_freqamb_05_PL2017,SuperLocSN,2
149,149_KAN_EvDB_20150501a_PL2017,langlocSN,2
150,150_KAN_stories_12b_PL2017,funloc,2
151,151_KAN_parametric_06_PL2017,SuperLocSN,2
152,152_KAN_stories_13_PL2017,SWNloc_NV,3
153,153_KAN_stories_14_PL2017,SWNloc_NV,3
154,154_KAN_freqamb_03_PL2017,SuperLocSN,2
155,155_KAN_events2_03_PL2017,SuperLocSN,2
156,156_KAN_prod_06_PL2017,SuperLocSN,2
157,157_KAN_events2_01_PL2017,SuperLocSWN,3
158,158_KAN_locmvpa_01_PL2017,SuperLocSN,2
159,159_KAN_freqamb_06_PL2017,SuperLocSN,2
160,160_KAN_locmvpa_02_PL2017,SuperLocSN,2
161,161_KAN_parametric_09_PL2017,SuperLocSN,2
162,162_KAN_locmvpa_03_PL2017,SuperLocSN,2
163,163_KAN_locmvpa_04_PL2017,SuperLocSN,2
164,164_KAN_locmvpa_06_PL2017,SuperLocSN,2
165,165_KAN_prod_07_PL2017,SuperLocSN,2
166,166_KAN_locmvpa_07_PL2017,SuperLocSN,2
167,167_KAN_parametric_10_PL2017,SuperLocSN,2
168,168_KAN_parametric_11_PL2017,SuperLocSN,2
169,169_KAN_parametric_12_PL2017,SuperLocSN,2
170,170_KAN_locmvpa_08_PL2017,SuperLocSN,2
171,171_KAN_parametric_14_PL2017,SuperLocSN,2
172,172_KAN_locmvpa_09_PL2017,SuperLocSN,2
173,173_KAN_locmvpa_10_PL2017,SuperLocSN,2
174,174_KAN_locmvpa_11_PL2017,SuperLocSN,2
175,175_FED_20160121a_3T2_PL2017,langlocSN,2
176,176_KAN_stories_17_PL2017,SuperLocSN,2
177,177_KAN_stories_18_PL2017,SuperLocSN,2
178,178_KAN_parametric_15_PL2017,SuperLocSN,2
179,179_KAN_locmvpa_13_PL2017,SuperLocSN,2
180,180_KAN_events2_02_PL2017,SuperLocSN,3
181,181_KAN_polyglot_02_PL2017,langlocSN,2
182,182_FED_20161102_3T1_PL2017,langlocSN,2
183,183_KAN_polyglot_04a_PL2017,langlocSN,2
184,184_KAN_locmvpa_12_PL2017,SuperLocSN,2
185,185_KAN_langsens_01_PL2017,langlocSN,2
186,186_KAN_EvDB_20150316b_PL2017,funloc,2
187,187_KAN_SpLoc_01_PL2017,langlocSN,2
188,188_KAN_SpLoc_02_PL2017,langlocSN,2
189,189_KAN_langsens_04_PL2017,langlocSN,2
190,190_KAN_parametric_17_PL2017,SuperLocSN,2
191,191_KAN_prodsemphon_03_PL2017,langlocSN,2
192,192_KAN_prodsemphon_04_PL2017,langlocSN,2
193,193_KAN_SpLoc_03_PL2017,langlocSN,2
194,194_KAN_RHnonlit_04_PL2017,langlocSN,2
196,196_KAN_parametric_19_PL2017,langlocSN,2
197,197_KAN_RHnonlit_07_PL2017,langlocSN,2
198,198_KAN_RHnonlit_08_PL2017,langlocSN,2
199,199_KAN_parametric_20_PL2017,langlocSN,2
200,200_KAN_parametric_21_PL2017,langlocSN,2
201,201_KAN_RHnonlit_11_PL2017,langlocSN,2
202,202_KAN_evDB_20131204_PL2017,langlocSN,2
203,203_KAN_SpLoc_04_PL2017,langlocSN,2
204,204_KAN_prodsemphon_06_PL2017,langlocSN,2
205,205_KAN_evDB_20140701b_PL2017,funloc,2
206,206_KAN_evDB_20131218a_PL2017,langlocSN,2
207,207_KAN_evDB_20140113a_PL2017,langlocSN,2
208,208_KAN_EvDB_20150224a_PL2017,langlocSN,2
209,209_KAN_evDB_20140224_PL2017,langlocSN,2
210,210_KAN_evDB_20140303a_PL2017,funloc,2
211,211_KAN_evDB_20140303b_PL2017,langlocSN,2
212,212_KAN_evDB_20140303c_PL2017,langlocSN,2
213,213_KAN_evDB_20140310a_PL2017,langlocSN,2
214,214_KAN_evDB_20141021a_PL2017,funloc,2
215,215_FED_20150615d_3T2_PL2017,langlocSN,2
216,216_KAN_SpLoc_05_PL2017,langlocSN,2
217,217_KAN_evDB_20140724b_PL2017,langlocSN,2
218,218_KAN_evDB_20140807a_PL2017,langlocSN,2
219,219_KAN_evDB_20140807b_PL2017,langlocSN,2
220,220_KAN_prodsemphon_07_PL2017,langlocSN,2
221,221_KAN_evDB_20140808_PL2017,langlocSN,2
222,222_KAN_prodsemphon_08_PL2017,langlocSN,2
223,223_KAN_evDB_20140820a_PL2017,langlocSN,2
224,224_FED_20160823b_3T1_PL2017,langlocSN,2
225,225_KAN_evDB_20140820b_PL2017,langlocSN,2
226,226_KAN_prodsemphon_10_PL2017,langlocSN,2
227,227_KAN_evDB_20141021b_PL2017,langlocSN,2
228,228_KAN_evDB_20141028_PL2017,langlocSN,2
229,229_KAN_SpLoc_06_PL2017,langlocSN,2
230,230_KAN_evDB_20141027b_PL2017,funloc,2
231,231_KAN_prodsemphon_13_PL2017,langlocSN,2
232,232_KAN_prodsemphon_14_PL2017,langlocSN,2
233,233_KAN_evDB_20141020a_PL2017,langlocSN,2
234,234_KAN_prodsemphon_15_PL2017,langlocSN,2
235,235_KAN_prodsemphon_16_PL2017,langlocSN,2
236,236_KAN_evDB_20141021c_PL2017,langlocSN,2
237,237_KAN_evDB_20141027a_PL2017,langlocSN,2
238,238_KAN_EvDB_20150504_PL2017,langlocSN,2
239,239_KAN_evDB_20150129b_PL2017,langlocSN,2
240,240_KAN_evDB_20141103a_PL2017,langlocSN,2
241,241_KAN_evDB_20141103d_PL2017,langlocSN,2
242,242_KAN_evDB_20141110a_PL2017,funloc,2
243,243_KAN_prodsemphon_18_PL2017,langlocSN,2
244,244_KAN_evDB_20141201a_PL2017,funloc,2
245,245_KAN_evDB_20141201b_PL2017,langlocSN,2
246,246_KAN_evDB_20141201c_PL2017,langlocSN,2
247,247_KAN_evDB_20141215b_PL2017,langlocSN,2
248,248_KAN_evDB_20150129a_PL2017,langlocSN,2
249,249_FED_20170110a_3T2_PL2017,langlocSN,2
250,250_KAN_evDB_20150205a_PL2017,langlocSN,1
